Sponsor_Name,Product,Trademark,Office_Address,RP_Contact,SponsorID
Price and Sons,Towels,QQXG36NZJR,"061 Torres Squares
North James, CT 92682",7155208409,1
Daniel LLC,Generic Metal Bike,N01AVZIO6I,"330 Angela Green Suite 685
Karentown, ID 95938",8662145958,2
"Rodriguez, Maldonado and Alexander",Generic Cotton Chicken,M371LKBR3T,"09355 Dillon Forks
Bridgesville, TN 05552",7000984241,3
"Hartman, Sullivan and Higgins",Soft Bike,IJH7C281UZ,"Unit 7183 Box 1368
DPO AA 47989",6636609389,4
"Collins, Maddox and Lee",Fantastic Car,HUB7NBMQFZ,"826 Jacobs Ramp Suite 383
New Angelaberg, PW 63879",1906423929,5
Michael-Garcia,Fantastic Soap,TB4G1LFN5U,"9565 Andrea Alley
Port Paula, WV 84701",3066784087,6
Morris Ltd,Salad,C79TI67TDD,"730 April Inlet Apt. 086
South Gary, NE 35206",0412541454,7
"Finley, Fuentes and Nelson",Sausages,V7WMENAKYJ,"27490 Sarah Mount
New Jasonside, GU 92932",6086667278,8
Clements Inc,Metal Shoes,HPW3NRX5A4,"645 Patricia Curve Apt. 516
Gregoryshire, NM 46719",7991407162,9
Gray Inc,Generic Sausages,BJQF1B3ZWN,"881 Wilson Vista Apt. 072
North Katherine, SD 23522",2970376178,10
Johnson Ltd,Bacon,12FRY8LLS7,"USNV Morrison
FPO AE 31046",0928990870,11
"Andersen, King and Robinson",Soap,76PO0O12LD,"USNV Sanchez
FPO AP 76667",0352746911,12
"Fitzpatrick, Gardner and Robertson",Wooden Bacon,0R0GQU5RMV,"8352 Brennan Branch
Lake Kimberly, FL 49939",4576987119,13
Taylor-Miller,Refined Frozen Bike,HIB9JBZ5F7,"2474 Manuel Ferry
Derrickshire, NV 34556",4992584032,14
Whitaker Ltd,Handcrafted Shirt,0DW90I8XRW,"21024 Vasquez Lake Apt. 058
Stevenfort, KY 50114",3268746271,15
Turner Group,Chair,ICETR7BZSD,"4694 Kayla Corner Suite 939
North Gregory, CO 45197",1601284857,16
Robinson LLC,Plastic Pizza,74ETY07J5I,"Unit 5961 Box 7134
DPO AE 75082",2060072613,17
Barber-Blair,Generic Metal Gloves,A9AO658XRC,"98412 Carmen Square Apt. 253
Herrerashire, MA 10361",0713534292,18
Martin-Harris,Fish,BTFKE63RVH,"07155 Cortez Wells Apt. 886
Davisborough, OR 51458",2781814284,19
Perez Inc,Chicken,A0P11SHHM4,"Unit 2723 Box 7996
DPO AA 76303",4663334177,20
"Garcia, Brown and White",For repair Chicken,TOWBTMRT73,"55600 Donna Views Suite 760
Johnsonburgh, OR 10474",7749399688,21
Johnson LLC,Rustic Cotton Bike,CVBKE2T3HR,"87929 Stewart Trail Apt. 784
Victoriatown, VI 18188",1546426158,22
Coleman Group,Concrete Mouse,IW2SFJ8Q4A,"98615 Hunter Lakes
Thompsonview, MH 64649",2465556955,23
Dominguez and Sons,Rubber Pants,3Y9UA6K5V8,"2414 Robles Plains Apt. 643
Marytown, VI 77786",3579317761,24
Morris-Jones,Pizza,TZ4M8GANXY,"554 Cervantes Squares
Lake Antoniofurt, HI 28238",8429988064,25
Mejia Inc,Shoes,JUIR3GZX39,"5078 Tiffany Spring
North Rachel, ND 78141",1838056396,26
"Armstrong, King and Woods",Awesome Rubber Shirt,MHVIVQFAUH,"Unit 7060 Box 3744
DPO AP 70111",5600242785,27
Shaw-Coleman,Generic Table,E7VP7PGQOJ,"077 Jones Gardens Suite 465
North Elizabethberg, NH 40854",7431026504,28
"Parker, Kelly and Hunt",Salad,ATIF7WN8YG,"738 Michael Streets Apt. 697
South Alexandriashire, MO 50102",1890279737,29
Lee PLC,Intelligent Shoes,5D723Z2SU8,"320 Glover Valley
Chasehaven, CA 69420",4640769987,30
"Snyder, Williams and Miller",Gorgeous Car,3UHEZ3E72O,"PSC 0067, Box 4612
APO AA 05887",2561002167,31
